Index,Permutaion,MAE,MSE,RMSE
0,"(3, 3, 3, 3, 3)",14.2815,330.0296,18.1667
1,"(3, 3, 3, 3, 6)",13.6642,315.0224,17.7489
2,"(3, 3, 3, 3, 10)",13.0677,270.0752,16.434
3,"(3, 3, 3, 3, 12)",12.4812,240.406,15.505
4,"(3, 3, 3, 6, 3)",13.5896,303.5448,17.4225
5,"(3, 3, 3, 6, 6)",13.209,289.806,17.0237
6,"(3, 3, 3, 6, 10)",12.1353,233.8496,15.2921
7,"(3, 3, 3, 6, 12)",12.5113,239.1128,15.4633
8,"(3, 3, 3, 10, 3)",12.2105,235.2481,15.3378
9,"(3, 3, 3, 10, 6)",12.1805,224.1053,14.9701
10,"(3, 3, 3, 10, 10)",11.0977,195.1729,13.9704
11,"(3, 3, 3, 10, 12)",11.4737,201.9098,14.2095
12,"(3, 3, 3, 12, 3)",12.0977,228.5038,15.1163
13,"(3, 3, 3, 12, 6)",12.1053,234.9925,15.3295
14,"(3, 3, 3, 12, 10)",10.7218,176.6917,13.2925
15,"(3, 3, 3, 12, 12)",11.0526,191.7444,13.8472
16,"(3, 3, 6, 3, 3)",14.2985,359.3433,18.9564
17,"(3, 3, 6, 3, 6)",13.9627,366.6045,19.1469
18,"(3, 3, 6, 3, 10)",13.1429,281.2331,16.77
19,"(3, 3, 6, 3, 12)",12.6241,258.9248,16.0911
20,"(3, 3, 6, 6, 3)",12.6493,279.1716,16.7084
21,"(3, 3, 6, 6, 6)",12.6194,280.1567,16.7379
22,"(3, 3, 6, 6, 10)",12.4737,248.3233,15.7583
23,"(3, 3, 6, 6, 12)",12.5263,235.7293,15.3535
24,"(3, 3, 6, 10, 3)",12.4211,247.4737,15.7313
25,"(3, 3, 6, 10, 6)",11.9774,222.7895,14.9261
26,"(3, 3, 6, 10, 10)",11.188,198.7519,14.0979
27,"(3, 3, 6, 10, 12)",11.3534,187.3233,13.6866
28,"(3, 3, 6, 12, 3)",12.4361,241.2782,15.5331
