Index,Permutaion,MAE,MSE,RMSE
0,"(6, 6, 6, 6, 6)",12.6493,274.2612,16.5608
1,"(6, 6, 6, 6, 10)",11.9774,229.6316,15.1536
2,"(6, 6, 6, 6, 12)",11.6917,218.9248,14.7961
3,"(6, 6, 6, 10, 6)",11.2556,213.4662,14.6105
4,"(6, 6, 6, 10, 10)",11.015,206.9098,14.3844
5,"(6, 6, 6, 10, 12)",10.6015,167.7744,12.9528
6,"(6, 6, 6, 12, 6)",10.3609,180.0602,13.4186
7,"(6, 6, 6, 12, 10)",9.9699,161.5338,12.7096
8,"(6, 6, 6, 12, 12)",10.2782,171.9023,13.1112
9,"(6, 6, 10, 6, 6)",13.0451,283.3008,16.8315
10,"(6, 6, 10, 6, 10)",12.3835,253.3609,15.9173
11,"(6, 6, 10, 6, 12)",11.3158,213.8571,14.6239
12,"(6, 6, 10, 10, 6)",10.6767,199.9098,14.1389
13,"(6, 6, 10, 10, 10)",10.6692,186.7444,13.6654
14,"(6, 6, 10, 10, 12)",10.6165,169.5338,13.0205
15,"(6, 6, 10, 12, 6)",10.3083,175.0752,13.2316
16,"(6, 6, 10, 12, 10)",9.7218,153.8571,12.4039
17,"(6, 6, 10, 12, 12)",9.9173,155.3308,12.4632
18,"(6, 6, 12, 6, 6)",12.2105,249.6842,15.8014
19,"(6, 6, 12, 6, 10)",11.7143,221.7895,14.8926
20,"(6, 6, 12, 6, 12)",11.406,217.3008,14.7411
21,"(6, 6, 12, 10, 6)",10.594,184.6241,13.5876
22,"(6, 6, 12, 10, 10)",10.2331,162.1429,12.7335
23,"(6, 6, 12, 10, 12)",10.2105,158.1955,12.5776
24,"(6, 6, 12, 12, 6)",10.4962,181.2481,13.4628
25,"(6, 6, 12, 12, 10)",10.0451,157.4286,12.5471
26,"(6, 6, 12, 12, 12)",9.9699,155.203,12.458
27,"(6, 10, 6, 6, 6)",12.0752,230.406,15.1791
28,"(6, 10, 6, 6, 10)",12.0677,223.0602,14.9352
29,"(6, 10, 6, 6, 12)",11.797,212.3684,14.5729
30,"(6, 10, 6, 10, 6)",11.5639,213.0376,14.5958
31,"(6, 10, 6, 10, 10)",10.7444,187.8421,13.7056
32,"(6, 10, 6, 10, 12)",10.594,172.2481,13.1243
33,"(6, 10, 6, 12, 6)",10.406,171.2932,13.0879
34,"(6, 10, 6, 12, 10)",10.0226,154.5789,12.433
35,"(6, 10, 6, 12, 12)",10.3985,162.2932,12.7394
36,"(6, 10, 10, 6, 6)",12.5414,256.9925,16.031
37,"(6, 10, 10, 6, 10)",12.3383,244.9398,15.6506
38,"(6, 10, 10, 6, 12)",11.594,216.4662,14.7128
39,"(6, 10, 10, 10, 6)",10.8872,195.0827,13.9672
40,"(6, 10, 10, 10, 10)",10.2707,171.9098,13.1114
41,"(6, 10, 10, 10, 12)",10.0677,158.4737,12.5886
42,"(6, 10, 10, 12, 6)",10.0376,161.6165,12.7128
43,"(6, 10, 10, 12, 10)",9.594,142.6617,11.9441
44,"(6, 10, 10, 12, 12)",9.6165,142.6692,11.9444
45,"(6, 10, 12, 6, 6)",12.1053,248.4361,15.7619
46,"(6, 10, 12, 6, 10)",11.9549,230.8722,15.1945
47,"(6, 10, 12, 6, 12)",11.4887,211.3684,14.5385
48,"(6, 10, 12, 10, 6)",10.5414,186.8421,13.669
49,"(6, 10, 12, 10, 10)",10.1053,160.0602,12.6515
50,"(6, 10, 12, 10, 12)",10.6842,171.4211,13.0928
51,"(6, 10, 12, 12, 6)",10.2932,168.6541,12.9867
52,"(6, 10, 12, 12, 10)",9.7744,149.5038,12.2272
53,"(6, 10, 12, 12, 12)",9.812,148.609,12.1905
54,"(6, 12, 6, 6, 6)",11.8571,232.6391,15.2525
55,"(6, 12, 6, 6, 10)",11.0602,200.6241,14.1642
56,"(6, 12, 6, 6, 12)",11.4211,206.5188,14.3708
57,"(6, 12, 6, 10, 6)",10.5263,183.7293,13.5547
58,"(6, 12, 6, 10, 10)",9.9925,155.4211,12.4668
59,"(6, 12, 6, 10, 12)",10.406,163.0526,12.7692
60,"(6, 12, 6, 12, 6)",10.1353,170.4662,13.0563
61,"(6, 12, 6, 12, 10)",9.7293,148.5564,12.1884
62,"(6, 12, 6, 12, 12)",9.985,154.0752,12.4127
63,"(6, 12, 10, 6, 6)",12.015,241.594,15.5433
64,"(6, 12, 10, 6, 10)",11.3759,212.6541,14.5827
65,"(6, 12, 10, 6, 12)",10.9098,195.3308,13.9761
66,"(6, 12, 10, 10, 6)",10.4361,176.1805,13.2733
67,"(6, 12, 10, 10, 10)",9.7895,152.6917,12.3568
68,"(6, 12, 10, 10, 12)",10.015,157.1128,12.5345
69,"(6, 12, 10, 12, 6)",10.218,171.4812,13.0951
70,"(6, 12, 10, 12, 10)",9.6466,147.6917,12.1528
71,"(6, 12, 10, 12, 12)",9.5789,142.9173,11.9548
72,"(6, 12, 12, 6, 6)",11.5865,230.5338,15.1833
73,"(6, 12, 12, 6, 10)",11.3759,213.7519,14.6203
74,"(6, 12, 12, 6, 12)",10.9323,202.3008,14.2232
75,"(6, 12, 12, 10, 6)",10.6165,180.6617,13.441
76,"(6, 12, 12, 10, 10)",10.0602,159.4737,12.6283
77,"(6, 12, 12, 10, 12)",10.1128,161.7068,12.7164
78,"(6, 12, 12, 12, 6)",10.0977,169.406,13.0156
79,"(6, 12, 12, 12, 10)",9.6767,145.9925,12.0827
80,"(6, 12, 12, 12, 12)",9.5414,143.3609,11.9733
81,"(10, 6, 6, 6, 6)",11.797,231.015,15.1992
82,"(10, 6, 6, 6, 10)",11.7594,214.7519,14.6544
83,"(10, 6, 6, 6, 12)",11.1203,189.3609,13.7608
84,"(10, 6, 6, 10, 6)",11.2632,212.1203,14.5644
85,"(10, 6, 6, 10, 10)",10.797,195.2632,13.9737
86,"(10, 6, 6, 10, 12)",10.1654,162.5865,12.7509
87,"(10, 6, 6, 12, 6)",10.0301,165.6541,12.8707
88,"(10, 6, 6, 12, 10)",9.6391,150.8571,12.2824
89,"(10, 6, 6, 12, 12)",9.6917,154.594,12.4336
90,"(10, 6, 10, 6, 6)",12.1353,249.0977,15.7828
91,"(10, 6, 10, 6, 10)",11.9173,234.0677,15.2993
92,"(10, 6, 10, 6, 12)",11.5338,212.6767,14.5834
93,"(10, 6, 10, 10, 6)",11.0451,208.9699,14.4558
94,"(10, 6, 10, 10, 10)",10.9474,197.6842,14.06
95,"(10, 6, 10, 10, 12)",10.3158,160.9774,12.6877
